caldt,b10ret,b7ret,b5ret,b2ret,b1ret
2000-12-29,0.144891,0.146696,0.124832,0.084641,0.069920
2001-12-31,0.040302,0.076023,0.082663,0.086428,0.074351
2002-12-31,0.146641,0.149588,0.131414,0.067811,0.034147
2003-12-31,0.012763,0.026151,0.028316,0.019835,0.014680
2004-12-31,0.051849,0.040793,0.023355,0.007544,0.006780
2005-12-30,0.031030,0.017948,0.006416,0.015241,0.022705
2006-12-29,0.022713,0.027242,0.027717,0.038851,0.041550
2007-12-31,0.096431,0.110206,0.101754,0.077046,0.059550
2008-12-31,0.176664,0.182258,0.131459,0.071409,0.046384
2009-12-31,-0.058280,-0.044154,-0.024693,0.009221,0.005438
2010-12-31,0.074454,0.078690,0.060456,0.024355,0.005810
2011-12-30,0.166016,0.129676,0.089274,0.017079,0.003515
2012-12-31,0.035862,0.035479,0.024179,0.004537,0.001726
2013-12-31,-0.069025,-0.045814,-0.023583,0.003635,0.003387
2014-12-31,0.101507,0.063066,0.037733,0.006980,0.002411
2015-12-31,0.010663,0.016727,0.018853,0.006272,0.001574
2016-12-30,0.007039,0.010183,0.012927,0.008037,0.007678
2017-12-29,0.028034,0.020527,0.012505,0.003562,0.005759
2018-12-31,0.000527,0.010949,0.015308,0.016015,0.019134
2019-12-31,0.081605,0.070413,0.062899,0.036031,0.028841
2020-12-31,0.099656,0.094176,0.073770,0.033445,0.018909
2021-12-31,-0.030717,-0.031290,-0.025320,-0.006488,-0.001605
2022-12-30,-0.164216,-0.123515,-0.097239,-0.037455,-0.011374
